"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","chromosome_name","percentage_gc_content","entrezgene","hgnc_symbol","hgnc_transcript_name","strand","band","transcript_length"
"ABHD14A","ENSG00000248487","ENST00000474575","3",0.5477,25864,"ABHD14A","ABHD14A-002",1,"p21.2",1064
"ABHD14A-ACY1","ENSG00000114786","ENST00000463721","3",0.5559,95,"ABHD14A-ACY1","ABHD14A-ACY1-004",1,"p21.2",1836
"ABHD14B","ENSG00000114779","ENST00000315877","3",0.5505,84836,"ABHD14B","ABHD14B-201",-1,"p21.2",2236
"ABHD15","ENSG00000168792","ENST00000307201","17",0.5306,116236,"ABHD15","ABHD15-001",-1,"q11.2",3592
"ABHD16A","ENSG00000235676","ENST00000464268","HSCHR6_MHC_COX",0.5036,7920,"ABHD16A","ABHD16A-003",-1,"p21.33",2264
"ABHD16B","ENSG00000183260","ENST00000369916","20",0.6768,140701,"ABHD16B","ABHD16B-001",1,"q13.33",1776
"ABHD2","ENSG00000140526","ENST00000352732","15",0.4401,11057,"ABHD2","ABHD2-001",1,"q26.1",8735
"ABHD3","ENSG00000158201","ENST00000578270","18",0.4245,171586,"ABHD3","ABHD3-002",-1,"q11.2",2080
"ABHD4","ENSG00000100439","ENST00000428304","14",0.4841,63874,"ABHD4","ABHD4-001",1,"q11.2",2510
"ABHD5","ENSG00000011198","ENST00000458276","3",0.4026,51099,"ABHD5","ABHD5-001",1,"p21.33",1690
"ABHD6","ENSG00000163686","ENST00000478253","3",0.4511,57406,"ABHD6","ABHD6-001",1,"p14.3",2482
"ABHD8","ENSG00000127220","ENST00000247706","19",0.549,79575,"ABHD8","ABHD8-001",-1,"p13.11",2090
"ABI1","ENSG00000136754","ENST00000355394","10",0.3844,10006,"ABI1","ABI1-202",-1,"p12.1",3728
"ABI2","ENSG00000138443","ENST00000295851","2",0.3951,10152,"ABI2","ABI2-001",1,"q33.2",22209
"ABI3","ENSG00000108798","ENST00000225941","17",0.5413,51225,"ABI3","ABI3-001",1,"q21.32",2109
"ABI3BP","ENSG00000154175","ENST00000471714","3",0.3702,25890,"ABI3BP","ABI3BP-002",-1,"q12.2",6783
"ABL1","ENSG00000097007","ENST00000318560","9",0.4447,25,"ABL1","ABL1-001",1,"q34.12",5766
"ABL2","ENSG00000143322","ENST00000502732","1",0.4131,27,"ABL2","ABL2-001",-1,"q25.2",12144
"ABLIM1","ENSG00000099204","ENST00000533213","10",0.4259,3983,"ABLIM1","ABLIM1-203",-1,"q25.3",7606
"ABLIM2","ENSG00000163995","ENST00000318888","4",0.5399,84448,"ABLIM2","ABLIM2-202",-1,"p16.1",3587
"ABLIM3","ENSG00000173210","ENST00000506113","5",0.4442,22885,"ABLIM3","ABLIM3-002",1,"q32",4569
"ABO","ENSG00000256062","ENST00000319878","HG79_PATCH",0.4874,28,"ABO","ABO-001",-1,"q34.2",6478
"ABR","ENSG00000159842","ENST00000544583","17",0.552,29,"ABR","ABR-004",-1,"p13.3",5595
"ABRA","ENSG00000174429","ENST00000311955","8",0.4025,137735,"ABRA","ABRA-001",-1,"q23.1",2755
"ABT1","ENSG00000146109","ENST00000274849","6",0.5015,29777,"ABT1","ABT1-001",1,"p22.2",2255
"ABTB1","ENSG00000114626","ENST00000464431","3",0.6038,80325,"ABTB1","ABTB1-007",1,"q21.3",5061
"ABTB2","ENSG00000166016","ENST00000435224","11",0.4792,25841,"ABTB2","ABTB2-001",-1,"p13",4902
"ACAA1","ENSG00000060971","ENST00000469559","3",0.5146,30,"ACAA1","ACAA1-006",-1,"p22.2",4720
"ACAA2","ENSG00000167315","ENST00000285093","18",0.3953,10449,"ACAA2","ACAA2-001",-1,"q21.1",2018
"ACACA","ENSG00000132142","ENST00000353139","17",0.4128,31,"ACACA","ACACA-001",-1,"q12",9962
"ACACB","ENSG00000076555","ENST00000338432","12",0.4678,32,"ACACB","ACACB-001",1,"q24.11",9360
"ACAD10","ENSG00000111271","ENST00000455480","12",0.4712,80724,"ACAD10","ACAD10-002",1,"q24.12",4071
"ACAD11","ENSG00000240303","ENST00000264990","3",0.3761,84129,"ACAD11","ACAD11-001",-1,"q22.1",4142
"ACAD8","ENSG00000151498","ENST00000531338","11",0.4788,27034,"ACAD8","ACAD8-011",1,"q25",3315
"ACAD9","ENSG00000177646","ENST00000308982","3",0.492,28976,"ACAD9","ACAD9-001",1,"q21.3",2454
"ACADL","ENSG00000115361","ENST00000233710","2",0.3642,33,"ACADL","ACADL-001",-1,"q34",2543
"ACADM","ENSG00000117054","ENST00000370841","1",0.4045,34,"ACADM","ACADM-001",1,"p31.1",2619
"ACADS","ENSG00000122971","ENST00000242592","12",0.5549,35,"ACADS","ACADS-001",1,"q24.31",1950
"ACADSB","ENSG00000196177","ENST00000358776","10",0.4072,36,"ACADSB","ACADSB-001",1,"q26.13",5859
"ACADVL","ENSG00000072778","ENST00000322910","17",0.585,37,"ACADVL","ACADVL-006",1,"p13.1",2352
"ACAN","ENSG00000157766","ENST00000439576","15",0.5026,176,"ACAN","ACAN-201",1,"q26.1",8840
"ACAP1","ENSG00000072818","ENST00000570439","17",0.5456,9744,"ACAP1","ACAP1-002",1,"p13.1",4898
"ACAP2","ENSG00000114331","ENST00000326793","3",0.3817,23527,"ACAP2","ACAP2-001",-1,"q29",7160
"ACAP3","ENSG00000131584","ENST00000492936","1",0.673,116983,"ACAP3","ACAP3-004",-1,"p36.33",5319
"ACAT1","ENSG00000075239","ENST00000531813","11",0.4249,38,"ACAT1","ACAT1-003",1,"q22.3",2258
"ACAT2","ENSG00000120437","ENST00000367048","6",0.4455,39,"ACAT2","ACAT2-001",1,"q25.3",3180
"ACBD3","ENSG00000182827","ENST00000366812","1",0.4145,64746,"ACBD3","ACBD3-001",-1,"q42.12",3573
"ACBD4","ENSG00000181513","ENST00000585553","17",0.5445,79777,"ACBD4","ACBD4-003",1,"q21.31",2241
"ACBD5","ENSG00000107897","ENST00000396271","10",0.4095,91452,"ACBD5","ACBD5-001",-1,"p12.1",3918
"ACBD6","ENSG00000135847","ENST00000367595","1",0.3734,84320,"ACBD6","ACBD6-001",-1,"q25.3",1670
"ACBD7","ENSG00000176244","ENST00000356189","10",0.4604,414149,"ACBD7","ACBD7-001",-1,"p13",1322
"ACCS","ENSG00000110455","ENST00000527346","11",0.4902,84680,"ACCS","ACCS-004",1,"p11.2",3373
"ACCSL","ENSG00000205126","ENST00000378832","11",0.4751,390110,"ACCSL","ACCSL-001",1,"p11.2",1820
"ACD","ENSG00000102977","ENST00000602622","16",0.6199,65057,"ACD","ACD-004",-1,"q22.1",2526
"ACE","ENSG00000159640","ENST00000490216","17",0.5448,1636,"ACE","ACE-203",1,"q23.3",4858
"ACE2","ENSG00000130234","ENST00000427411","X",0.3839,59272,"ACE2","ACE2-201",-1,"p22.2",3507
"ACER1","ENSG00000167769","ENST00000301452","19",0.4983,125981,"ACER1","ACER1-001",-1,"p13.3",1445
"ACER2","ENSG00000177076","ENST00000340967","9",0.4351,340485,"ACER2","ACER2-001",1,"p22.1",2238
"ACER3","ENSG00000262970","ENST00000571623","HG414_PATCH",0.3874,55331,"ACER3","ACER3-001",1,"q13.5",7378
"ACHE","ENSG00000087085","ENST00000302913","7",0.6448,43,"ACHE","ACHE-201",-1,"q22.1",2956
"ACIN1","ENSG00000100813","ENST00000262710","14",0.4536,22985,"ACIN1","ACIN1-003",-1,"q11.2",4935
"ACLY","ENSG00000260245","ENST00000564506","HG185_PATCH",0.5022,47,"ACLY","ACLY-001",-1,"q21.2",4339
"ACMSD","ENSG00000153086","ENST00000485893","2",0.3953,130013,"ACMSD","ACMSD-003",1,"q21.3",1936
"ACN9","ENSG00000196636","ENST00000432641","7",0.3869,57001,"ACN9","ACN9-001",1,"q21.3",2060
"ACO1","ENSG00000122729","ENST00000309951","9",0.417,48,"ACO1","ACO1-001",1,"p21.1",7466
"ACO2","ENSG00000100412","ENST00000396512","22",0.5027,50,"ACO2","ACO2-002",1,"q13.2",2811
"ACOT1","ENSG00000184227","ENST00000311148","14",0.4947,641371,"ACOT1","ACOT1-001",1,"q24.3",1713
"ACOT11","ENSG00000162390","ENST00000371316","1",0.512,26027,"ACOT11","ACOT11-001",1,"p32.3",6369
"ACOT12","ENSG00000172497","ENST00000307624","5",0.4074,134526,"ACOT12","ACOT12-001",-1,"q14.1",2086
"ACOT13","ENSG00000112304","ENST00000537591","6",0.4143,55856,"ACOT13","ACOT13-201",1,"p22.3",4391
"ACOT2","ENSG00000119673","ENST00000238651","14",0.4863,10965,"ACOT2","ACOT2-001",1,"q24.3",1774
"ACOT4","ENSG00000177465","ENST00000326303","14",0.4817,122970,"ACOT4","ACOT4-001",1,"q24.3",2362
"ACOT6","ENSG00000205669","ENST00000381139","14",0.4745,641372,"ACOT6","ACOT6-001",1,"q24.3",1004
"ACOT7","ENSG00000097021","ENST00000361521","1",0.54,11332,"ACOT7","ACOT7-006",-1,"p36.31",2429
"ACOT8","ENSG00000101473","ENST00000484975","20",0.4906,10005,"ACOT8","ACOT8-012",-1,"q13.12",3059
"ACOT9","ENSG00000123130","ENST00000379303","X",0.4461,23597,"ACOT9","ACOT9-008",-1,"p22.11",3117
"ACOX1","ENSG00000161533","ENST00000537812","17",0.4435,51,"ACOX1","ACOX1-201",-1,"q25.1",7751
"ACOX2","ENSG00000168306","ENST00000302819","3",0.4722,8309,"ACOX2","ACOX2-001",-1,"p14.3",2426
"ACOX3","ENSG00000087008","ENST00000356406","4",0.5193,8310,"ACOX3","ACOX3-001",-1,"p16.1",2860
"ACOXL","ENSG00000153093","ENST00000389811","2",0.4265,55289,"ACOXL","ACOXL-001",1,"q13",2714
"ACP1","ENSG00000143727","ENST00000272067","2",0.4267,52,"ACP1","ACP1-002",1,"p25.3",1552
"ACP2","ENSG00000134575","ENST00000256997","11",0.5275,53,"ACP2","ACP2-001",-1,"p11.2",2203
"ACP5","ENSG00000102575","ENST00000592828","19",0.5859,54,"ACP5","ACP5-003",-1,"p13.2",1699
"ACP6","ENSG00000162836","ENST00000369238","1",0.4369,51205,"ACP6","ACP6-001",-1,"q21.2",6926
"ACPL2","ENSG00000155893","ENST00000508812","3",0.464,92370,"ACPL2","ACPL2-005",1,"q23",4158
"ACPP","ENSG00000014257","ENST00000336375","3",0.404,55,"ACPP","ACPP-001",1,"q22.1",3125
"ACPT","ENSG00000142513","ENST00000270593","19",0.5805,93650,"ACPT","ACPT-001",1,"q13.33",1347
"ACR","ENSG00000100312","ENST00000216139","22",0.5548,49,"ACR","ACR-001",1,"q13.33",1433
"ACRBP","ENSG00000111644","ENST00000229243","12",0.5176,84519,"ACRBP","ACRBP-001",-1,"p13.31",1933
"ACRC","ENSG00000147174","ENST00000373695","X",0.447,93953,"ACRC","ACRC-002",1,"q13.1",3213
"ACRV1","ENSG00000134940","ENST00000533904","11",0.4176,56,"ACRV1","ACRV1-001",-1,"q24.2",2212
"ACSBG1","ENSG00000103740","ENST00000258873","15",0.4823,23205,"ACSBG1","ACSBG1-001",-1,"q25.1",6357
"ACSBG2","ENSG00000130377","ENST00000588304","19",0.4582,81616,"ACSBG2","ACSBG2-007",1,"p13.3",2759
"ACSF2","ENSG00000167107","ENST00000427954","17",0.4996,80221,"ACSF2","ACSF2-002",1,"q21.33",2251
"ACSF3","ENSG00000176715","ENST00000393145","16",0.5476,197322,"ACSF3","ACSF3-020",1,"q24.3",7020
"ACSL1","ENSG00000151726","ENST00000515030","4",0.4471,2180,"ACSL1","ACSL1-011",-1,"q35.1",3948
"ACSL3","ENSG00000123983","ENST00000357430","2",0.3946,2181,"ACSL3","ACSL3-001",1,"q36.1",5679
"ACSL4","ENSG00000068366","ENST00000340800","X",0.3916,2182,"ACSL4","ACSL4-201",-1,"q23",5333
"ACSL5","ENSG00000197142","ENST00000393081","10",0.4289,51703,"ACSL5","ACSL5-203",1,"q25.2",3380
"ACSL6","ENSG00000164398","ENST00000379264","5",0.4187,23305,"ACSL6","ACSL6-001",-1,"q31.1",6539
"ACSM1","ENSG00000166743","ENST00000219151","16",0.4048,116285,"ACSM1","ACSM1-201",-1,"p12.3",2147
"ACSM2A","ENSG00000183747","ENST00000573854","16",0.4051,123876,"ACSM2A","ACSM2A-001",1,"p12.3",2839
"ACSM2B","ENSG00000066813","ENST00000329697","16",0.3917,348158,"ACSM2B","ACSM2B-001",-1,"p12.3",2935
"ACSM3","ENSG00000005187","ENST00000289416","16",0.4108,6296,"ACSM3","ACSM3-001",1,"p12.3",2845
"ACSM4","ENSG00000215009","ENST00000399422","12",0.404,341392,"ACSM4","ACSM4-001",1,"p13.31",2142
"ACSM5","ENSG00000183549","ENST00000331849","16",0.4236,54988,"ACSM5","ACSM5-001",1,"p12.3",2796
"ACSS1","ENSG00000154930","ENST00000537502","20",0.52,84532,"ACSS1","ACSS1-202",-1,"p11.21",4877
"ACSS2","ENSG00000131069","ENST00000360596","20",0.4542,55902,"ACSS2","ACSS2-001",1,"q11.22",3065
"ACSS3","ENSG00000111058","ENST00000548058","12",0.3556,79611,"ACSS3","ACSS3-001",1,"q21.31",4803
"ACTA1","ENSG00000143632","ENST00000366684","1",0.6254,58,"ACTA1","ACTA1-001",-1,"q42.13",1491
"ACTA2","ENSG00000107796","ENST00000458208","10",0.4033,59,"ACTA2","ACTA2-201",-1,"q23.31",1756
"ACTB","ENSG00000075624","ENST00000462494","7",0.567,60,"ACTB","ACTB-003",-1,"p22.1",2245
"ACTBL2","ENSG00000169067","ENST00000423391","5",0.4024,345651,"ACTBL2","ACTBL2-001",-1,"q11.2",2791
"ACTC1","ENSG00000159251","ENST00000290378","15",0.4622,70,"ACTC1","ACTC1-001",-1,"q14",4106
"ACTG1","ENSG00000267807","ENST00000593601","HG271_PATCH",0.6109,71,"ACTG1","ACTG1-012",-1,"q25.3",2256
"ACTG2","ENSG00000163017","ENST00000409624","2",0.4518,72,"ACTG2","ACTG2-002",1,"p13.1",2064
"ACTL10","ENSG00000182584","ENST00000330271","20",0.6647,170487,"ACTL10","ACTL10-001",1,"q11.22",2028
"ACTL6A","ENSG00000136518","ENST00000429709","3",0.3925,86,"ACTL6A","ACTL6A-001",1,"q26.33",1901
"ACTL6B","ENSG00000077080","ENST00000160382","7",0.5308,51412,"ACTL6B","ACTL6B-001",-1,"q22.1",1537
"ACTL7A","ENSG00000187003","ENST00000333999","9",0.5743,10881,"ACTL7A","ACTL7A-001",1,"q31.3",1433
"ACTL7B","ENSG00000148156","ENST00000374667","9",0.5817,10880,"ACTL7B","ACTL7B-001",-1,"q31.3",2369
"ACTL8","ENSG00000117148","ENST00000375406","1",0.4815,81569,"ACTL8","ACTL8-001",1,"p36.13",1861
"ACTL9","ENSG00000181786","ENST00000324436","19",0.6603,284382,"ACTL9","ACTL9-001",-1,"p13.2",1422
"ACTN1","ENSG00000072110","ENST00000556083","14",0.5081,87,"ACTN1","ACTN1-008",-1,"q24.1",4674
"ACTN2","ENSG00000077522","ENST00000366578","1",0.4306,88,"ACTN2","ACTN2-001",1,"q43",4863
"ACTN3","ENSG00000248746","ENST00000502692","11",0.5647,89,"ACTN3","ACTN3-003",1,"q13.2",3084
"ACTN4","ENSG00000130402","ENST00000252699","19",0.5301,81,"ACTN4","ACTN4-001",1,"q13.2",4963
"ACTR10","ENSG00000131966","ENST00000254286","14",0.3877,55860,"ACTR10","ACTR10-002",1,"q23.1",1815
"ACTR1A","ENSG00000138107","ENST00000470322","10",0.4885,10121,"ACTR1A","ACTR1A-003",-1,"q24.32",3519
"ACTR1B","ENSG00000115073","ENST00000289228","2",0.5866,10120,"ACTR1B","ACTR1B-001",-1,"q11.2",2238
"ACTR2","ENSG00000138071","ENST00000260641","2",0.3948,10097,"ACTR2","ACTR2-001",1,"p14",3861
"ACTR3","ENSG00000115091","ENST00000263238","2",0.3661,10096,"ACTR3","ACTR3-001",1,"q14.1",6718
"ACTR3B","ENSG00000133627","ENST00000479402","7",0.4336,57180,"ACTR3B","ACTR3B-005",1,"q36.1",5543
"ACTR3BP2","ENSG00000226481","ENST00000413404","2",0.4171,440888,"ACTR3BP2","ACTR3BP2-001",1,"p11.1",1373
"ACTR3BP5","ENSG00000227264","ENST00000448440","10",0.4223,399746,"ACTR3BP5","ACTR3BP5-001",1,"p11.1",1479
"ACTR3C","ENSG00000106526","ENST00000478393","7",0.4331,653857,"ACTR3C","ACTR3C-004",-1,"q36.1",5697
"ACTR5","ENSG00000101442","ENST00000243903","20",0.4483,79913,"ACTR5","ACTR5-001",1,"q11.23",2236
"ACTR6","ENSG00000075089","ENST00000188312","12",0.41,64431,"ACTR6","ACTR6-001",1,"q23.1",2464
"ACTR8","ENSG00000113812","ENST00000335754","3",0.4211,93973,"ACTR8","ACTR8-001",-1,"p21.1",3629
"ACTRT1","ENSG00000123165","ENST00000371124","X",0.4875,139741,"ACTRT1","ACTRT1-001",-1,"q25",1440
"ACTRT2","ENSG00000169717","ENST00000378404","1",0.6155,140625,"ACTRT2","ACTRT2-001",1,"p36.32",1420
"ACVR1","ENSG00000115170","ENST00000263640","2",0.4031,90,"ACVR1","ACVR1-001",-1,"q24.1",3045
"ACVR1B","ENSG00000135503","ENST00000257963","12",0.4484,91,"ACVR1B","ACVR1B-002",1,"q13.13",4563
"ACVR1C","ENSG00000123612","ENST00000243349","2",0.3688,130399,"ACVR1C","ACVR1C-001",-1,"q24.1",8994
